epoch,out_0,out_1,step,train_loss
24,-0.1592569202184677,-0.16990318894386292,49,1.3686734437942505
49,-0.12507855892181396,-0.1348886787891388,99,1.2879722118377686
74,-0.09386993944644928,-0.10303448140621185,149,1.2166850566864014
99,-0.06515634804964066,-0.07385324686765671,199,1.153160810470581
124,-0.038300324231386185,-0.04671094939112663,249,1.0956038236618042
149,-0.012404248118400574,-0.020731111988425255,299,1.0418919324874878
174,0.013817771337926388,0.005338565446436405,349,0.9893513917922974
199,0.04220404848456383,0.0333072803914547,399,0.9344948530197144
224,0.07527779042720795,0.06571796536445618,449,0.8728829622268677
249,0.11604851484298706,0.10575129836797714,499,0.799680769443512
274,0.16668649017810822,0.15606604516506195,549,0.7122244834899902
299,0.22552596032619476,0.21578872203826904,599,0.614987313747406
324,0.2855486273765564,0.2783392667770386,649,0.5207942128181458
349,0.3386496603488922,0.33510085940361023,699,0.44209083914756775
374,0.3808996379375458,0.3812410235404968,749,0.3828626573085785
399,0.4126679599285126,0.4165636897087097,799,0.3403979241847992
424,0.4360775053501129,0.4430278539657593,849,0.3102179765701294
449,0.45330992341041565,0.4628469944000244,899,0.28853335976600647
474,0.46607962250709534,0.4778227210044861,949,0.27266910672187805
499,0.4756227731704712,0.48927736282348633,999,0.2608376145362854
524,0.48280948400497437,0.4981509745121002,1049,0.25185248255729675
549,0.48825231194496155,0.5051101446151733,1099,0.24491596221923828
574,0.4923875033855438,0.5106316804885864,1149,0.2394813448190689
599,0.4955298602581024,0.515060544013977,1199,0.2351662814617157
624,0.49791020154953003,0.5186503529548645,1249,0.23169748485088348
649,0.4997000992298126,0.5215904712677002,1299,0.22887568175792694
674,0.5010283589363098,0.5240229964256287,1349,0.22655411064624786
699,0.5019934773445129,0.5260570049285889,1399,0.2246219664812088
724,0.5026705861091614,0.5277760028839111,1449,0.22299550473690033
749,0.5031183362007141,0.5292454361915588,1499,0.22160986065864563
774,0.5033822059631348,0.5305162072181702,1549,0.22041502594947815
799,0.5034981369972229,0.5316289663314819,1599,0.21937142312526703
824,0.5034940242767334,0.5326152443885803,1649,0.21844850480556488
849,0.5033924579620361,0.533501148223877,1699,0.21762117743492126
874,0.5032112002372742,0.5343071818351746,1749,0.2168698012828827
899,0.5029643774032593,0.5350497961044312,1799,0.21617868542671204
924,0.5026631355285645,0.5357427597045898,1849,0.21553479135036469
949,0.502316415309906,0.5363967418670654,1899,0.21492798626422882
974,0.501931369304657,0.5370210409164429,1949,0.21434952318668365
999,0.5015137791633606,0.5376229286193848,1999,0.2137925624847412
1024,0.5010678172111511,0.5382086634635925,2049,0.2132512331008911
1049,0.5005972981452942,0.5387832522392273,2099,0.21272088587284088
1074,0.5001046657562256,0.539351224899292,2149,0.21219728887081146
1099,0.4995921850204468,0.539915919303894,2199,0.21167735755443573
1124,0.49906110763549805,0.5404806137084961,2249,0.21115806698799133
1149,0.4985128343105316,0.5410480499267578,2299,0.2106368988752365
1174,0.4979478716850281,0.5416203737258911,2349,0.21011188626289368
1199,0.49736687541007996,0.542199969291687,2399,0.20958086848258972
1224,0.4967697560787201,0.5427882671356201,2449,0.20904256403446198
1249,0.49615681171417236,0.5433871150016785,2499,0.2084953337907791
1274,0.49552759528160095,0.5439983606338501,2549,0.20793749392032623
1299,0.49488183856010437,0.5446228981018066,2599,0.20736829936504364
1324,0.4942187964916229,0.5452623963356018,2649,0.20678628981113434
1349,0.49353811144828796,0.5459180474281311,2699,0.20619042217731476
1374,0.49283888936042786,0.5465913414955139,2749,0.20557941496372223
1399,0.4921201765537262,0.5472832918167114,2799,0.2049524188041687
1424,0.4913811981678009,0.5479953289031982,2849,0.20430822670459747
1449,0.4906206727027893,0.5487285852432251,2899,0.20364588499069214
1474,0.48983749747276306,0.549484372138977,2949,0.20296433568000793
1499,0.4890303909778595,0.5502639412879944,2999,0.2022625207901001
1524,0.488197922706604,0.5510687232017517,3049,0.2015392929315567
1549,0.4873386323451996,0.5519000291824341,3099,0.2007935792207718
1574,0.48645105957984924,0.5527593493461609,3149,0.20002420246601105
1599,0.4855332374572754,0.5536479949951172,3199,0.1992301195859909
1624,0.4845835864543915,0.5545677542686462,3249,0.19840988516807556
1649,0.4835999608039856,0.5555200576782227,3299,0.19756242632865906
1674,0.48258036375045776,0.5565067529678345,3349,0.196686252951622
1699,0.48152250051498413,0.5575293898582458,3399,0.19578024744987488
1724,0.48042410612106323,0.5585900545120239,3449,0.19484274089336395
1749,0.4792824685573578,0.5596906542778015,3499,0.19387231767177582
1774,0.47809478640556335,0.5608333349227905,3549,0.19286735355854034
1799,0.4768582582473755,0.5620200634002686,3599,0.19182641804218292
1824,0.475569486618042,0.5632531642913818,3649,0.19074779748916626
1849,0.4742252826690674,0.5645353198051453,3699,0.18962949514389038
1874,0.4728218615055084,0.5658689141273499,3749,0.188469797372818
1899,0.47135502099990845,0.5672566890716553,3799,0.1872667670249939
1924,0.4698207974433899,0.5687016248703003,3849,0.18601828813552856
1949,0.46821436285972595,0.5702068209648132,3899,0.1847221702337265
1974,0.46653085947036743,0.5717752575874329,3949,0.18337643146514893
1999,0.4647645056247711,0.5734106302261353,3999,0.1819784939289093
